,raw,filled,clean
2023-10-03,170.7277069091797,170.7277069091797,170.7277069091797
2023-10-04,171.9755096435547,171.9755096435547,171.9755096435547
2023-10-05,173.21340942382812,173.21340942382812,173.21340942382812
2023-10-06,175.76837158203125,175.76837158203125,175.76837158203125
2023-10-09,177.2538299560547,177.2538299560547,177.2538299560547
2023-10-10,176.6596221923828,176.6596221923828,176.6596221923828
2023-10-11,178.0559539794922,178.0559539794922,178.0559539794922
2023-10-12,178.95713806152344,178.95713806152344,178.95713806152344
2023-10-13,177.1151885986328,177.1151885986328,177.1151885986328
2023-10-16,176.98641967773438,176.98641967773438,176.98641967773438
2023-10-17,175.43165588378906,175.43165588378906,175.43165588378906
2023-10-18,174.13436889648438,174.13436889648438,174.13436889648438
2023-10-19,173.758056640625,173.758056640625,173.758056640625
2023-10-20,171.2030792236328,171.2030792236328,171.2030792236328
2023-10-23,171.32191467285156,171.32191467285156,171.32191467285156
2023-10-24,171.75762939453125,171.75762939453125,171.75762939453125
2023-10-25,169.4403533935547,169.4403533935547,169.4403533935547
2023-10-26,165.27114868164062,165.27114868164062,165.27114868164062
2023-10-27,166.58828735351562,166.58828735351562,166.58828735351562
2023-10-30,168.63819885253906,168.63819885253906,168.63819885253906
2023-10-31,169.11354064941406,169.11354064941406,169.11354064941406
2023-11-01,172.28250122070312,172.28250122070312,172.28250122070312
2023-11-02,175.84759521484375,175.84759521484375,175.84759521484375
2023-11-03,174.93649291992188,174.93649291992188,174.93649291992188
2023-11-06,177.49148559570312,177.49148559570312,177.49148559570312
2023-11-07,180.0563507080078,180.0563507080078,180.0563507080078
2023-11-08,181.11595153808594,181.11595153808594,181.11595153808594
2023-11-09,180.640625,180.640625,180.640625
2023-11-10,184.83511352539062,184.83511352539062,184.83511352539062
2023-11-13,183.24856567382812,183.24856567382812,183.24856567382812
2023-11-14,185.8664093017578,185.8664093017578,185.8664093017578
2023-11-15,186.4315948486328,186.4315948486328,186.4315948486328
2023-11-16,188.11734008789062,188.11734008789062,188.11734008789062
2023-11-17,188.0974884033203,188.0974884033203,188.0974884033203
2023-11-20,189.84271240234375,189.84271240234375,189.84271240234375
2023-11-21,189.03953552246094,189.03953552246094,189.03953552246094
2023-11-22,189.7039031982422,189.7039031982422,189.7039031982422
2023-11-23,,189.7039031982422,189.7039031982422
2023-11-24,188.37515258789062,188.37515258789062,188.37515258789062
2023-11-27,188.1966552734375,188.1966552734375,188.1966552734375
2023-11-28,188.80152893066406,188.80152893066406,188.80152893066406
2023-11-29,187.7801971435547,187.7801971435547,187.7801971435547
2023-11-30,188.35531616210938,188.35531616210938,188.35531616210938
2023-12-01,189.63450622558594,189.63450622558594,189.63450622558594
2023-12-04,187.83966064453125,187.83966064453125,187.83966064453125
2023-12-05,191.79620361328125,191.79620361328125,191.79620361328125
2023-12-06,190.7054443359375,190.7054443359375,190.7054443359375
2023-12-07,192.63906860351562,192.63906860351562,192.63906860351562
2023-12-08,194.06695556640625,194.06695556640625,194.06695556640625
2023-12-11,191.5581817626953,191.5581817626953,191.5581817626953
2023-12-12,193.07537841796875,193.07537841796875,193.07537841796875
2023-12-13,196.29806518554688,196.29806518554688,196.29806518554688
2023-12-14,196.44683837890625,196.44683837890625,196.44683837890625
2023-12-15,195.91134643554688,195.91134643554688,195.91134643554688
2023-12-18,194.2454376220703,194.2454376220703,194.2454376220703
2023-12-19,195.28663635253906,195.28663635253906,195.28663635253906
2023-12-20,193.19435119628906,193.19435119628906,193.19435119628906
2023-12-21,193.0455780029297,193.0455780029297,193.0455780029297
2023-12-22,191.9746856689453,191.9746856689453,191.9746856689453
2023-12-25,,191.9746856689453,191.9746856689453
2023-12-26,191.4293212890625,191.4293212890625,191.4293212890625
2023-12-27,191.52842712402344,191.52842712402344,191.52842712402344
2023-12-28,191.95484924316406,191.95484924316406,191.95484924316406
2023-12-29,190.91366577148438,190.91366577148438,190.91366577148438
2024-01-01,,190.91366577148438,190.91366577148438
2024-01-02,184.08151245117188,184.08151245117188,184.08151245117188
2024-01-03,182.70318603515625,182.70318603515625,182.70318603515625
2024-01-04,180.3828125,180.3828125,180.3828125
2024-01-05,179.65895080566406,179.65895080566406,179.65895080566406
2024-01-08,184.00216674804688,184.00216674804688,184.00216674804688
2024-01-09,183.58570861816406,183.58570861816406,183.58570861816406
2024-01-10,184.6268768310547,184.6268768310547,184.6268768310547
2024-01-11,184.0319061279297,184.0319061279297,184.0319061279297
2024-01-12,184.359130859375,184.359130859375,184.359130859375
2024-01-15,,184.359130859375,184.359130859375
2024-01-16,182.08836364746094,182.08836364746094,182.08836364746094
2024-01-17,181.14634704589844,181.14634704589844,181.14634704589844
2024-01-18,187.0464324951172,187.0464324951172,187.0464324951172
2024-01-19,189.95181274414062,189.95181274414062,189.95181274414062
2024-01-22,192.26223754882812,192.26223754882812,192.26223754882812
2024-01-23,193.5413818359375,193.5413818359375,193.5413818359375
2024-01-24,192.86712646484375,192.86712646484375,192.86712646484375
2024-01-25,192.53988647460938,192.53988647460938,192.53988647460938
2024-01-26,190.8045654296875,190.8045654296875,190.8045654296875
2024-01-29,190.12037658691406,190.12037658691406,190.12037658691406
2024-01-30,186.4613494873047,186.4613494873047,186.4613494873047
2024-01-31,182.85189819335938,182.85189819335938,182.85189819335938
2024-02-01,185.291259765625,185.291259765625,185.291259765625
2024-02-02,184.2897491455078,184.2897491455078,184.2897491455078
2024-02-05,186.10438537597656,186.10438537597656,186.10438537597656
2024-02-06,187.71078491210938,187.71078491210938,187.71078491210938
2024-02-07,187.8198699951172,187.8198699951172,187.8198699951172
2024-02-08,186.739013671875,186.739013671875,186.739013671875
2024-02-09,187.50352478027344,187.50352478027344,187.50352478027344
2024-02-12,185.8156280517578,185.8156280517578,185.8156280517578
2024-02-13,183.7206573486328,183.7206573486328,183.7206573486328
2024-02-14,182.83700561523438,182.83700561523438,182.83700561523438
2024-02-15,182.54908752441406,182.54908752441406,182.54908752441406
2024-02-16,181.0101318359375,181.0101318359375,181.0101318359375
2024-02-19,,181.0101318359375,181.0101318359375
2024-02-20,180.26548767089844,180.26548767089844,180.26548767089844
2024-02-21,181.0200653076172,181.0200653076172,181.0200653076172
2024-02-22,183.0554656982422,183.0554656982422,183.0554656982422
2024-02-23,181.21864318847656,181.21864318847656,181.21864318847656
2024-02-26,179.86834716796875,179.86834716796875,179.86834716796875
2024-02-27,181.32786560058594,181.32786560058594,181.32786560058594
2024-02-28,180.12648010253906,180.12648010253906,180.12648010253906
2024-02-29,179.46128845214844,179.46128845214844,179.46128845214844
2024-03-01,178.37904357910156,178.37904357910156,178.37904357910156
2024-03-04,173.8515625,173.8515625,173.8515625
2024-03-05,168.90704345703125,168.90704345703125,168.90704345703125
2024-03-06,167.91416931152344,167.91416931152344,167.91416931152344
2024-03-07,167.7950439453125,167.7950439453125,167.7950439453125
2024-03-08,169.5126953125,169.5126953125,169.5126953125
2024-03-11,171.518310546875,171.518310546875,171.518310546875
2024-03-12,171.99485778808594,171.99485778808594,171.99485778808594
2024-03-13,169.9098663330078,169.9098663330078,169.9098663330078
2024-03-14,171.7665252685547,171.7665252685547,171.7665252685547
2024-03-15,171.38922119140625,171.38922119140625,171.38922119140625
2024-03-18,172.4813690185547,172.4813690185547,172.4813690185547
2024-03-19,174.82455444335938,174.82455444335938,174.82455444335938
2024-03-20,177.39610290527344,177.39610290527344,177.39610290527344
2024-03-21,170.14813232421875,170.14813232421875,170.14813232421875
2024-03-22,171.05165100097656,171.05165100097656,171.05165100097656
2024-03-25,169.63185119628906,169.63185119628906,169.63185119628906
2024-03-26,168.49998474121094,168.49998474121094,168.49998474121094
2024-03-27,172.07432556152344,172.07432556152344,172.07432556152344
2024-03-28,170.25735473632812,170.25735473632812,170.25735473632812
2024-03-29,,170.25735473632812,170.25735473632812
2024-04-01,168.81768798828125,168.81768798828125,168.81768798828125
2024-04-02,167.63619995117188,167.63619995117188,167.63619995117188
2024-04-03,168.44041442871094,168.44041442871094,168.44041442871094
2024-04-04,167.61631774902344,167.61631774902344,167.61631774902344
2024-04-05,168.37091064453125,168.37091064453125,168.37091064453125
2024-04-08,167.24896240234375,167.24896240234375,167.24896240234375
2024-04-09,168.4602508544922,168.4602508544922,168.4602508544922
2024-04-10,166.583740234375,166.583740234375,166.583740234375
2024-04-11,173.79197692871094,173.79197692871094,173.79197692871094
2024-04-12,175.2912139892578,175.2912139892578,175.2912139892578
2024-04-15,171.458740234375,171.458740234375,171.458740234375
2024-04-16,168.17234802246094,168.17234802246094,168.17234802246094
2024-04-17,166.8021697998047,166.8021697998047,166.8021697998047
2024-04-18,165.8489990234375,165.8489990234375,165.8489990234375
2024-04-19,163.8235626220703,163.8235626220703,163.8235626220703
2024-04-22,164.6575927734375,164.6575927734375,164.6575927734375
2024-04-23,165.7100067138672,165.7100067138672,165.7100067138672
2024-04-24,167.81491088867188,167.81491088867188,167.81491088867188
2024-04-25,168.6787109375,168.6787109375,168.6787109375
2024-04-26,168.0928955078125,168.0928955078125,168.0928955078125
2024-04-29,172.26295471191406,172.26295471191406,172.26295471191406
2024-04-30,169.1155548095703,169.1155548095703,169.1155548095703
2024-05-01,168.0928955078125,168.0928955078125,168.0928955078125
2024-05-02,171.7963104248047,171.7963104248047,171.7963104248047
2024-05-03,182.07247924804688,182.07247924804688,182.07247924804688
2024-05-06,180.41441345214844,180.41441345214844,180.41441345214844
2024-05-07,181.0994873046875,181.0994873046875,181.0994873046875
2024-05-08,181.43707275390625,181.43707275390625,181.43707275390625
2024-05-09,183.25404357910156,183.25404357910156,183.25404357910156
2024-05-10,181.99136352539062,181.99136352539062,181.99136352539062
2024-05-13,185.20269775390625,185.20269775390625,185.20269775390625
2024-05-14,186.34603881835938,186.34603881835938,186.34603881835938
2024-05-15,188.62281799316406,188.62281799316406,188.62281799316406
2024-05-16,188.74209594726562,188.74209594726562,188.74209594726562
2024-05-17,188.7719268798828,188.7719268798828,188.7719268798828
2024-05-20,189.93515014648438,189.93515014648438,189.93515014648438
2024-05-21,191.23757934570312,191.23757934570312,191.23757934570312
2024-05-22,189.7959747314453,189.7959747314453,189.7959747314453
2024-05-23,185.7992401123047,185.7992401123047,185.7992401123047
2024-05-24,188.88128662109375,188.88128662109375,188.88128662109375
2024-05-27,,188.88128662109375,188.88128662109375
2024-05-28,188.8912353515625,188.8912353515625,188.8912353515625
2024-05-29,189.18951416015625,189.18951416015625,189.18951416015625
2024-05-30,190.1837158203125,190.1837158203125,190.1837158203125
2024-05-31,191.13816833496094,191.13816833496094,191.13816833496094
2024-06-03,192.9078826904297,192.9078826904297,192.9078826904297
2024-06-04,193.2260284423828,193.2260284423828,193.2260284423828
2024-06-05,194.7372283935547,194.7372283935547,194.7372283935547
2024-06-06,193.3552703857422,193.3552703857422,193.3552703857422
2024-06-07,195.7513427734375,195.7513427734375,195.7513427734375
2024-06-10,192.0031280517578,192.0031280517578,192.0031280517578
2024-06-11,205.9519805908203,205.9519805908203,205.9519805908203
2024-06-12,211.83778381347656,211.83778381347656,211.83778381347656
2024-06-13,213.00099182128906,213.00099182128906,213.00099182128906
2024-06-14,211.2611083984375,211.2611083984375,211.2611083984375
2024-06-17,215.4169464111328,215.4169464111328,215.4169464111328
2024-06-18,213.0507049560547,213.0507049560547,213.0507049560547
2024-06-19,,213.0507049560547,213.0507049560547
2024-06-20,208.46734619140625,208.46734619140625,208.46734619140625
2024-06-21,206.29002380371094,206.29002380371094,206.29002380371094
2024-06-24,206.93626403808594,206.93626403808594,206.93626403808594
2024-06-25,207.86090087890625,207.86090087890625,207.86090087890625
2024-06-26,212.01670837402344,212.01670837402344,212.01670837402344
2024-06-27,212.86180114746094,212.86180114746094,212.86180114746094
2024-06-28,209.40191650390625,209.40191650390625,209.40191650390625
2024-07-01,215.49647521972656,215.49647521972656,215.49647521972656
2024-07-02,218.99612426757812,218.99612426757812,218.99612426757812
2024-07-03,220.2687225341797,220.2687225341797,220.2687225341797
2024-07-04,,220.2687225341797,220.2687225341797
2024-07-05,225.031005859375,225.031005859375,225.031005859375
2024-07-08,226.50245666503906,226.50245666503906,226.50245666503906
2024-07-09,227.35748291015625,227.35748291015625,227.35748291015625
2024-07-10,231.6326141357422,231.6326141357422,231.6326141357422
2024-07-11,226.25392150878906,226.25392150878906,226.25392150878906
2024-07-12,229.20672607421875,229.20672607421875,229.20672607421875
2024-07-15,233.04440307617188,233.04440307617188,233.04440307617188
2024-07-16,233.46197509765625,233.46197509765625,233.46197509765625
2024-07-17,227.5563201904297,227.5563201904297,227.5563201904297
2024-07-18,222.8834991455078,222.8834991455078,222.8834991455078
2024-07-19,223.0127410888672,223.0127410888672,223.0127410888672
2024-07-22,222.66477966308594,222.66477966308594,222.66477966308594
2024-07-23,223.70870971679688,223.70870971679688,223.70870971679688
2024-07-24,217.276123046875,217.276123046875,217.276123046875
2024-07-25,216.23220825195312,216.23220825195312,216.23220825195312
2024-07-26,216.69947814941406,216.69947814941406,216.69947814941406
2024-07-29,216.9778594970703,216.9778594970703,216.9778594970703
2024-07-30,217.53460693359375,217.53460693359375,217.53460693359375
2024-07-31,220.795654296875,220.795654296875,220.795654296875
2024-08-01,217.09716796875,217.09716796875,217.09716796875
2024-08-02,218.58848571777344,218.58848571777344,218.58848571777344
2024-08-05,208.0597381591797,208.0597381591797,208.0597381591797
2024-08-06,206.03152465820312,206.03152465820312,206.03152465820312
2024-08-07,208.60655212402344,208.60655212402344,208.60655212402344
2024-08-08,212.0763702392578,212.0763702392578,212.0763702392578
2024-08-09,214.98944091796875,214.98944091796875,214.98944091796875
2024-08-12,216.5222930908203,216.5222930908203,216.5222930908203
2024-08-13,220.24497985839844,220.24497985839844,220.24497985839844
2024-08-14,220.69288635253906,220.69288635253906,220.69288635253906
2024-08-15,223.6790008544922,223.6790008544922,223.6790008544922
2024-08-16,225.00283813476562,225.00283813476562,225.00283813476562
2024-08-19,224.8435821533203,224.8435821533203,224.8435821533203
2024-08-20,225.46067810058594,225.46067810058594,225.46067810058594
2024-08-21,225.35121154785156,225.35121154785156,225.35121154785156
2024-08-22,223.4898681640625,223.4898681640625,223.4898681640625
2024-08-23,225.78916931152344,225.78916931152344,225.78916931152344
2024-08-26,226.12759399414062,226.12759399414062,226.12759399414062
2024-08-27,226.97364807128906,226.97364807128906,226.97364807128906
2024-08-28,225.4407958984375,225.4407958984375,225.4407958984375
2024-08-29,228.72549438476562,228.72549438476562,228.72549438476562
2024-08-30,227.93917846679688,227.93917846679688,227.93917846679688
2024-09-02,,227.93917846679688,227.93917846679688
2024-09-03,221.738037109375,221.738037109375,221.738037109375
2024-09-04,219.82693481445312,219.82693481445312,219.82693481445312
2024-09-05,221.34982299804688,221.34982299804688,221.34982299804688
2024-09-06,219.79705810546875,219.79705810546875,219.79705810546875
2024-09-09,219.8866424560547,219.8866424560547,219.8866424560547
2024-09-10,219.09034729003906,219.09034729003906,219.09034729003906
2024-09-11,221.6285400390625,221.6285400390625,221.6285400390625
2024-09-12,221.738037109375,221.738037109375,221.738037109375
2024-09-13,221.4692840576172,221.4692840576172,221.4692840576172
2024-09-16,215.3179168701172,215.3179168701172,215.3179168701172
2024-09-17,215.7857208251953,215.7857208251953,215.7857208251953
2024-09-18,219.66766357421875,219.66766357421875,219.66766357421875
2024-09-19,227.80975341796875,227.80975341796875,227.80975341796875
2024-09-20,227.1428680419922,227.1428680419922,227.1428680419922
2024-09-23,225.42088317871094,225.42088317871094,225.42088317871094
2024-09-24,226.3167266845703,226.3167266845703,226.3167266845703
2024-09-25,225.3213348388672,225.3213348388672,225.3213348388672
2024-09-26,226.46603393554688,226.46603393554688,226.46603393554688
2024-09-27,226.73477172851562,226.73477172851562,226.73477172851562
2024-09-30,231.92063903808594,231.92063903808594,231.92063903808594
