T,K,iv
0.005479452054794521,170.0,1.819325129543305
0.005479452054794521,175.0,1.8286711359748842
0.005479452054794521,180.0,2.137854671702862
0.005479452054794521,185.0,1.557064744983673
0.005479452054794521,190.0,2.000904683071137
0.005479452054794521,195.0,1.6385728883194925
0.005479452054794521,205.0,1.3838799079470632
0.005479452054794521,210.0,1.1228092318592071
0.005479452054794521,215.0,1.0290511443791392
0.005479452054794521,217.5,0.8647235557847025
0.005479452054794521,220.0,0.9218975117113593
0.005479452054794521,222.5,0.7573386571414471
0.005479452054794521,225.0,0.5725106511230469
0.005479452054794521,227.5,0.843217608204484
0.005479452054794521,230.0,0.6418439521520136
0.005479452054794521,232.5,0.4274782742762566
0.005479452054794521,235.0,0.5100074449728726
0.005479452054794521,237.5,0.49713463241529454
0.005479452054794521,240.0,0.453328207498908
0.005479452054794521,242.5,0.4224437689622045
0.005479452054794521,245.0,0.40395053754961496
0.005479452054794521,247.5,0.3905898610721231
0.005479452054794521,250.0,0.38189563130080706
0.005479452054794521,252.5,0.3787762228403688
0.005479452054794521,255.0,0.38085553045749665
0.005479452054794521,257.5,0.38806292266225806
0.005479452054794521,260.0,0.4028556004440785
0.005479452054794521,262.5,0.4199239831082821
0.005479452054794521,265.0,0.43664546680927274
0.005479452054794521,267.5,0.4740199557943344
0.005479452054794521,270.0,0.5056986260638235
0.005479452054794521,272.5,0.529881417705536
0.005479452054794521,275.0,0.5420979832553863
0.005479452054794521,277.5,0.583535124015808
0.005479452054794521,280.0,0.6242856194057465
0.005479452054794521,282.5,0.598469660823822
0.005479452054794521,285.0,0.6347283510818482
0.005479452054794521,287.5,0.6704720573120118
0.005479452054794521,290.0,0.7057198529968263
0.005479452054794521,292.5,0.7405289585838317
0.005479452054794521,295.0,0.7748803005905152
0.005479452054794521,300.0,0.8422859877929689
0.005479452054794521,305.0,0.9081276494293214
0.005479452054794521,310.0,0.9724434324645996
0.005479452054794521,315.0,1.0353477777938842
0.005479452054794521,320.0,1.0969169793472289
0.005479452054794521,325.0,1.1571891840896606
0.005479452054794521,330.0,1.2162788329162597
0.005479452054794521,335.0,1.2741859258270263
0.005479452054794521,340.0,1.3310249037170412
0.005479452054794521,345.0,1.3867576196212767
0.005479452054794521,355.0,1.495285735122681
0.005479452054794521,360.0,1.5481192816848757
0.005479452054794521,370.0,1.6511160872573853
0.024657534246575342,110.0,1.8453127494678498
0.024657534246575342,120.0,1.634998994533539
0.024657534246575342,125.0,1.5361602081489565
0.024657534246575342,140.0,1.4255101677179336
0.024657534246575342,150.0,1.2561853267049787
0.024657534246575342,160.0,1.0979421790323258
0.024657534246575342,165.0,1.0999854258465764
0.024657534246575342,170.0,1.0522754935245513
0.024657534246575342,175.0,1.0008223902592657
0.024657534246575342,180.0,0.8784397738971712
0.024657534246575342,185.0,0.8328374613928796
0.024657534246575342,190.0,0.8013185315394402
0.024657534246575342,195.0,0.7736107219107153
0.024657534246575342,200.0,0.6079360686137676
0.024657534246575342,205.0,0.6198414979801177
0.024657534246575342,210.0,0.5616673763141633
0.024657534246575342,215.0,0.5104276576344966
0.024657534246575342,220.0,0.46798975508844853
0.024657534246575342,225.0,0.41653873798531305
0.024657534246575342,230.0,0.3655055493584871
0.024657534246575342,235.0,0.33013005074778196
0.024657534246575342,237.5,0.31693105183690784
0.024657534246575342,240.0,0.3075929430191815
0.024657534246575342,242.5,0.2969225216455758
0.024657534246575342,245.0,0.28827500700525943
0.024657534246575342,247.5,0.2810493608816862
0.024657534246575342,250.0,0.277110239707917
0.024657534246575342,252.5,0.2751139315420389
0.024657534246575342,255.0,0.2726915992628336
0.024657534246575342,257.5,0.27469669911205763
0.024657534246575342,260.0,0.2749814602455198
0.024657534246575342,262.5,0.27897035128772263
0.024657534246575342,265.0,0.2840367450803518
0.024657534246575342,267.5,0.291485536048174
0.024657534246575342,270.0,0.2986684903534651
0.024657534246575342,272.5,0.3072676507353782
0.024657534246575342,275.0,0.31675313200783733
0.024657534246575342,277.5,0.3272447394828796
0.024657534246575342,280.0,0.3416142243714333
0.024657534246575342,282.5,0.35379741132688514
0.024657534246575342,285.0,0.3632006382060051
0.024657534246575342,290.0,0.3875503228197098
0.024657534246575342,295.0,0.4147061935482026
0.024657534246575342,300.0,0.43737502751541146
0.024657534246575342,305.0,0.42738052267837534
0.024657534246575342,310.0,0.45770735987472533
0.024657534246575342,315.0,0.4873570884418488
0.024657534246575342,320.0,0.5163773920860291
0.024657534246575342,325.0,0.5448064177722929
0.024657534246575342,330.0,0.5726632389831543
0.043835616438356165,140.0,1.1613400507216454
0.043835616438356165,155.0,1.0198982569580077
0.043835616438356165,170.0,0.8596273596756461
0.043835616438356165,180.0,0.7400592740769386
0.043835616438356165,185.0,0.713687204270482
0.043835616438356165,190.0,0.7651751762459876
0.043835616438356165,195.0,0.6153055854198932
0.043835616438356165,200.0,0.5791792174468041
0.043835616438356165,205.0,0.5337658516286612
0.043835616438356165,210.0,0.45425505953979495
0.043835616438356165,215.0,0.47012419699096686
0.043835616438356165,220.0,0.43509067996126416
0.043835616438356165,225.0,0.4103933513264358
0.043835616438356165,230.0,0.38749295336058737
0.043835616438356165,235.0,0.374052853709817
0.043835616438356165,240.0,0.36004487091952553
0.043835616438356165,245.0,0.35000104324880243
0.043835616438356165,250.0,0.34232649973404405
0.043835616438356165,255.0,0.3370656458267271
0.043835616438356165,260.0,0.3341188672841935
0.043835616438356165,265.0,0.333777854278475
0.043835616438356165,270.0,0.3356819242750108
0.043835616438356165,275.0,0.3416833657455444
0.043835616438356165,280.0,0.34895840920859567
0.043835616438356165,285.0,0.3598556262102127
0.043835616438356165,290.0,0.37368628521776204
0.043835616438356165,295.0,0.38527700212264065
0.043835616438356165,300.0,0.397720065277338
0.043835616438356165,305.0,0.413069450330019
0.043835616438356165,310.0,0.4170522318973541
0.043835616438356165,315.0,0.42978378147506713
0.043835616438356165,320.0,0.43666930866241455
0.043835616438356165,325.0,0.4703149318161011
0.06301369863013699,110.0,1.493699059796095
0.06301369863013699,120.0,1.3678069226515293
0.06301369863013699,140.0,1.102648560842514
0.06301369863013699,145.0,1.079952308744192
0.06301369863013699,150.0,0.9983666793856619
0.06301369863013699,160.0,0.897480473862529
0.06301369863013699,165.0,0.8703395042922497
0.06301369863013699,190.0,0.6252062129601835
0.06301369863013699,195.0,0.5990469316930175
0.06301369863013699,200.0,0.5084204716231225
0.06301369863013699,205.0,0.4869604196102024
0.06301369863013699,210.0,0.45904369574332243
0.06301369863013699,215.0,0.4339784575121999
0.06301369863013699,220.0,0.40245446126496787
0.06301369863013699,225.0,0.37824663567745687
0.06301369863013699,230.0,0.3618462719359696
0.06301369863013699,235.0,0.3507343292444943
0.06301369863013699,240.0,0.3377517696566731
0.06301369863013699,245.0,0.32575350607465203
0.06301369863013699,250.0,0.31817373392613224
0.06301369863013699,255.0,0.3128331588223725
0.06301369863013699,260.0,0.31091634833556414
0.06301369863013699,265.0,0.3087917411974668
0.06301369863013699,270.0,0.30952890149429446
0.06301369863013699,275.0,0.3134698108070493
0.06301369863013699,280.0,0.318544400236696
0.06301369863013699,285.0,0.3257656505185962
0.06301369863013699,290.0,0.33402238228476044
0.06301369863013699,295.0,0.34340117126441
0.06301369863013699,300.0,0.35264286958849433
0.06301369863013699,305.0,0.36560866537332537
0.06301369863013699,310.0,0.3705641945488453
0.06301369863013699,315.0,0.3824672397298813
0.06301369863013699,320.0,0.39034220382261275
0.06301369863013699,325.0,0.3917774833817482
0.06301369863013699,330.0,0.40260883726406094
0.0821917808219178,145.0,0.9525503862494231
0.0821917808219178,175.0,0.6822350316058396
0.0821917808219178,180.0,0.6336369902542829
0.0821917808219178,190.0,0.556805724435389
0.0821917808219178,205.0,0.45963705986338854
0.0821917808219178,210.0,0.4152749707572162
0.0821917808219178,215.0,0.39107116848242285
0.0821917808219178,220.0,0.369074376750648
0.0821917808219178,225.0,0.3497316303083003
0.0821917808219178,230.0,0.332454631429106
0.0821917808219178,235.0,0.32277327443192894
0.0821917808219178,240.0,0.3166246095182449
0.0821917808219178,245.0,0.3058591932610274
0.0821917808219178,250.0,0.3000652504186183
0.0821917808219178,255.0,0.29388574010743196
0.0821917808219178,260.0,0.2916143565609306
0.0821917808219178,265.0,0.289615291680783
0.0821917808219178,270.0,0.29000450993332266
0.0821917808219178,275.0,0.2921724794418217
0.0821917808219178,280.0,0.29591669346615673
0.0821917808219178,285.0,0.3013965943992138
0.0821917808219178,290.0,0.3080359544528723
0.0821917808219178,295.0,0.31467710264551646
0.0821917808219178,300.0,0.32284889780986303
0.0821917808219178,305.0,0.3307578365433215
0.0821917808219178,310.0,0.33882115127587314
0.0821917808219178,315.0,0.34689519484233855
0.0821917808219178,320.0,0.3535613769807815
0.0821917808219178,325.0,0.3641185495519639
0.0821917808219178,330.0,0.37212941220760354
0.10136986301369863,100.0,1.1095626982536317
0.10136986301369863,105.0,1.0720594632616043
0.10136986301369863,110.0,0.9717067192025185
0.10136986301369863,115.0,2.4197011386184695
0.10136986301369863,120.0,0.9102114273939135
0.10136986301369863,125.0,0.8770855566387177
0.10136986301369863,130.0,2.123147079534442
0.10136986301369863,135.0,0.8088573255028725
0.10136986301369863,140.0,0.7743212091343405
0.10136986301369863,145.0,0.7397278723182679
0.10136986301369863,150.0,0.71735348523736
0.10136986301369863,155.0,0.7352312988157272
0.10136986301369863,160.0,0.6646266309679747
0.10136986301369863,165.0,0.6357505705353019
0.10136986301369863,170.0,0.5595490276625157
0.10136986301369863,175.0,0.5806854265190362
0.10136986301369863,180.0,0.5677324457302689
0.10136986301369863,185.0,0.5204415339772105
0.10136986301369863,190.0,0.4869562472859026
0.10136986301369863,195.0,0.4567113664597273
0.10136986301369863,200.0,0.4122197862886786
0.10136986301369863,205.0,0.4191321355608105
0.10136986301369863,210.0,0.3896625619964897
0.10136986301369863,215.0,0.37087369160494205
0.10136986301369863,220.0,0.35421941212749486
0.10136986301369863,225.0,0.3373176989179104
0.10136986301369863,230.0,0.3229716833535433
0.10136986301369863,235.0,0.31317253270068773
0.10136986301369863,240.0,0.3038147543541193
0.10136986301369863,245.0,0.29641558424314857
0.10136986301369863,250.0,0.29109862747515736
0.10136986301369863,255.0,0.2857164781399817
0.10136986301369863,260.0,0.28136906523115923
0.10136986301369863,265.0,0.2795157336783409
0.10136986301369863,270.0,0.2798662089195251
0.10136986301369863,275.0,0.28105263913649325
0.10136986301369863,280.0,0.2844150854873955
0.10136986301369863,285.0,0.2877636737611592
0.10136986301369863,290.0,0.2929145571208597
0.10136986301369863,295.0,0.29869322627609973
0.10136986301369863,300.0,0.3042433116643429
0.10136986301369863,305.0,0.31119023162353043
0.10136986301369863,310.0,0.315466864030838
0.10136986301369863,315.0,0.3233138139461279
0.10136986301369863,320.0,0.3347024711456299
0.10136986301369863,325.0,0.33811185614490513
0.10136986301369863,330.0,0.3436658158342838
0.10136986301369863,335.0,0.3502235175409316
0.10136986301369863,340.0,0.3534946197919845
0.10136986301369863,345.0,0.3511199712190628
0.10136986301369863,350.0,0.364843341887474
